 number of detectors, number of user parameters
   922      10
 det no  delta  L2      code theta   phi  W_x     W_y     W_z       a_x     a_y     a_z   det1 det2    det3
  4302   3.90   4.022   2    3.86    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4303   3.90   4.022   2    4.29    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4304   3.90   4.022   2    4.71    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4305   3.90   4.022   2    5.14    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4306   3.90   4.022   2    5.57    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4307   3.90   4.022   2    6.00    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4308   3.90   4.022   2    6.43    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4309   3.90   4.022   2    6.86    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4310   3.90   4.022   2    7.29    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4311   3.90   4.022   2    7.71    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4312   3.90   4.022   2    8.14    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4313   3.90   4.022   2    8.57    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4314   3.90   4.022   2    9.00    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4315   3.90   4.022   2    9.43    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4316   3.90   4.022   2    9.86    0.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4401   3.90   4.022   2    6.43  315.00 0.02540 0.02540 0.20000   90.00    0.00    0.00 10.0 0.00080    0
  4402   3.90   4.022   2    6.86  315.00 0.02540 0.02540 0.20000   90.00    0.00    0.00 10.0 0.00080    0
  4403   3.90   4.022   2    7.29  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4404   3.90   4.022   2    7.71  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4405   3.90   4.022   2    8.14  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4406   3.90   4.022   2    8.57  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4407   3.90   4.022   2    9.00  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4408   3.90   4.022   2    9.43  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4409   3.90   4.022   2    9.86  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4410   3.90   4.022   2   10.29  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4411   3.90   4.022   2   10.71  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4412   3.90   4.022   2   11.14  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4413   3.90   4.022   2   11.57  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4414   3.90   4.022   2   12.00  315.00 0.02540 0.02540 0.30000   90.00    0.00    0.00 10.0 0.00080    0
  4415   3.90   4.022   2   12.43  315.00 0.02540 0.02540 0.20000   90.00    0.00    0.00 10.0 0.00080    0
  4416   3.90   4.022   2   12.86  315.00 0.02540 0.02540 0.20000   90.00    0.00    0.00 10.0 0.00080    0
  4501   3.90   4.022   2    3.43  270.00 0.02540 0.02540 0.20000   90.00    0.00    0.00 10.0 0.00080    0
